timestamp,user,ip,country,success,os
2024-06-04 01:35:00,user_019,192.168.1.11,China,True,macOS 14
2024-06-04 02:22:00,user_010,192.168.1.155,Kenya,True,Windows 11
2024-06-04 03:54:00,user_015,192.168.1.163,China,True,Ubuntu 22.04
2024-06-04 03:58:00,user_025,192.168.1.244,China,True,Windows 10
2024-06-04 04:09:00,user_029,192.168.1.116,Kenya,True,Kali Linux
2024-06-04 04:13:00,user_012,192.168.1.165,Unknown,True,Kali Linux
2024-06-04 04:21:00,user_029,192.168.1.153,Russia,True,Kali Linux
2024-06-04 05:29:00,user_017,192.168.1.170,Russia,True,Windows 10
2024-06-04 06:01:00,user_008,192.168.1.70,Nigeria,True,Kali Linux
2024-06-04 06:40:00,user_023,192.168.1.73,Russia,True,Windows 10
2024-06-04 07:01:00,user_003,192.168.1.219,Kenya,True,macOS 14
2024-06-04 10:58:00,user_003,192.168.1.255,Kenya,False,macOS 14
2024-06-04 10:58:00,user_010,192.168.1.54,South Africa,True,Kali Linux
2024-06-04 12:56:00,user_004,192.168.1.149,Uganda,True,Kali Linux
2024-06-04 13:07:00,user_013,192.168.1.255,Russia,True,macOS 14
2024-06-04 13:43:00,user_022,192.168.1.218,Uganda,True,Ubuntu 22.04
2024-06-04 13:55:00,user_007,192.168.1.168,South Africa,True,macOS 14
2024-06-04 14:08:00,user_013,192.168.1.69,Uganda,False,Kali Linux
2024-06-04 14:09:00,user_004,192.168.1.191,Unknown,True,Windows 11
2024-06-04 14:53:00,user_024,192.168.1.122,Russia,True,macOS 14
2024-06-04 15:59:00,user_015,192.168.1.114,South Africa,True,Kali Linux
2024-06-04 16:30:00,user_016,192.168.1.5,Uganda,True,Ubuntu 22.04
2024-06-04 16:33:00,user_027,192.168.1.197,China,False,Windows 10
2024-06-04 17:23:00,user_007,192.168.1.117,Nigeria,True,macOS 14
2024-06-04 18:03:00,user_014,192.168.1.178,South Africa,False,macOS 14
2024-06-04 18:13:00,user_003,192.168.1.132,Kenya,False,macOS 14
2024-06-04 18:25:00,user_001,192.168.1.30,Nigeria,False,Ubuntu 22.04
2024-06-04 19:04:00,user_025,192.168.1.34,Russia,True,Windows 11
2024-06-04 19:47:00,user_022,192.168.1.174,China,True,Windows 11
2024-06-04 19:54:00,user_004,192.168.1.24,South Africa,False,Ubuntu 22.04
2024-06-04 23:00:00,user_014,192.168.1.86,Nigeria,True,Windows 11
2024-06-04 23:28:00,user_010,192.168.1.211,China,True,Windows 11
2024-06-05 01:00:00,user_007,192.168.1.172,Nigeria,True,Windows 10
2024-06-05 01:42:00,user_007,192.168.1.175,Kenya,True,Ubuntu 22.04
2024-06-05 02:45:00,user_019,192.168.1.50,Russia,False,Windows 11
2024-06-05 02:50:00,user_008,192.168.1.36,Unknown,True,Windows 10
2024-06-05 02:54:00,user_021,192.168.1.229,China,True,Windows 11
2024-06-05 03:27:00,user_014,192.168.1.18,Russia,True,Kali Linux
2024-06-05 03:34:00,user_029,192.168.1.239,China,True,Windows 10
2024-06-05 06:29:00,user_013,192.168.1.242,Russia,False,Kali Linux
2024-06-05 07:00:00,user_015,192.168.1.239,Nigeria,True,Windows 11
2024-06-05 07:52:00,user_015,192.168.1.233,South Africa,False,Kali Linux
2024-06-05 09:25:00,user_022,192.168.1.203,China,True,Windows 11
2024-06-05 12:04:00,user_005,192.168.1.172,Russia,False,Ubuntu 22.04
2024-06-05 16:15:00,user_015,192.168.1.222,Russia,False,Windows 10
2024-06-05 17:27:00,user_027,192.168.1.124,South Africa,False,Kali Linux
2024-06-05 17:32:00,user_002,192.168.1.53,China,True,Kali Linux
2024-06-05 18:33:00,user_008,192.168.1.115,Unknown,False,Windows 10
2024-06-05 21:05:00,user_010,192.168.1.146,Unknown,False,Windows 10
2024-06-05 21:58:00,user_024,192.168.1.83,Unknown,False,Windows 10
2024-06-05 22:55:00,user_006,192.168.1.188,Unknown,True,Ubuntu 22.04
2024-06-05 23:01:00,user_021,192.168.1.209,South Africa,True,macOS 14
2024-06-05 23:09:00,user_020,192.168.1.252,Unknown,False,Kali Linux
2024-06-06 00:39:00,user_018,192.168.1.181,South Africa,True,Windows 10
2024-06-06 01:00:00,user_026,192.168.1.221,China,True,Windows 10
2024-06-06 02:22:00,user_026,192.168.1.5,Uganda,False,macOS 14
2024-06-06 03:01:00,user_023,192.168.1.153,South Africa,False,Windows 11
2024-06-06 03:54:00,user_009,192.168.1.79,Nigeria,False,Windows 11
2024-06-06 04:14:00,user_010,192.168.1.109,Russia,True,Kali Linux
2024-06-06 04:21:00,user_014,192.168.1.227,Russia,True,macOS 14
2024-06-06 04:38:00,user_005,192.168.1.206,South Africa,True,Kali Linux
2024-06-06 06:13:00,user_013,192.168.1.70,Russia,True,Windows 11
2024-06-06 06:51:00,user_002,192.168.1.143,Kenya,True,Windows 10
2024-06-06 06:59:00,user_023,192.168.1.66,China,True,Kali Linux
2024-06-06 07:37:00,user_030,192.168.1.33,Unknown,True,macOS 14
2024-06-06 08:25:00,user_001,192.168.1.192,Unknown,False,Ubuntu 22.04
2024-06-06 09:12:00,user_026,192.168.1.231,China,True,Windows 10
2024-06-06 09:37:00,user_015,192.168.1.67,China,False,Ubuntu 22.04
2024-06-06 10:27:00,user_004,192.168.1.211,Uganda,True,Windows 10
2024-06-06 10:43:00,user_015,192.168.1.88,Kenya,True,Ubuntu 22.04
2024-06-06 12:42:00,user_027,192.168.1.18,China,True,Windows 11
2024-06-06 12:53:00,user_005,192.168.1.49,Nigeria,False,Windows 10
2024-06-06 13:19:00,user_008,192.168.1.70,South Africa,True,macOS 14
2024-06-06 13:24:00,user_018,192.168.1.195,Kenya,True,macOS 14
2024-06-06 14:02:00,user_004,192.168.1.224,Uganda,True,macOS 14
2024-06-06 14:59:00,user_013,192.168.1.63,Kenya,True,Windows 10
2024-06-06 15:15:00,user_002,192.168.1.33,Unknown,True,Ubuntu 22.04
2024-06-06 16:07:00,user_021,192.168.1.114,China,False,Ubuntu 22.04
2024-06-06 16:39:00,user_018,192.168.1.127,South Africa,False,Windows 10
2024-06-06 16:41:00,user_025,192.168.1.46,Unknown,True,Ubuntu 22.04
2024-06-06 17:50:00,user_014,192.168.1.213,Unknown,True,Windows 11
2024-06-06 18:28:00,user_010,192.168.1.171,South Africa,True,Ubuntu 22.04
2024-06-06 18:37:00,user_020,192.168.1.51,Kenya,True,Windows 11
2024-06-06 18:38:00,user_009,192.168.1.211,Uganda,False,Ubuntu 22.04
2024-06-06 21:19:00,user_015,192.168.1.31,Kenya,False,Ubuntu 22.04
2024-06-06 21:42:00,user_021,192.168.1.114,Nigeria,False,Kali Linux
2024-06-06 22:20:00,user_016,192.168.1.161,Kenya,False,Windows 10
2024-06-06 23:15:00,user_020,192.168.1.73,Uganda,True,Ubuntu 22.04
2024-06-07 00:29:00,user_009,192.168.1.249,Unknown,True,Windows 10
2024-06-07 00:58:00,user_012,192.168.1.109,Russia,True,Ubuntu 22.04
2024-06-07 01:28:00,user_014,192.168.1.170,Nigeria,False,Ubuntu 22.04
2024-06-07 02:57:00,user_025,192.168.1.124,South Africa,True,Kali Linux
2024-06-07 02:58:00,user_024,192.168.1.189,Unknown,True,Windows 11
2024-06-07 03:01:00,user_022,192.168.1.185,Russia,True,Windows 11
2024-06-07 03:04:00,user_016,192.168.1.89,Nigeria,True,Kali Linux
2024-06-07 03:17:00,user_025,192.168.1.237,Unknown,True,Kali Linux
2024-06-07 03:36:00,user_027,192.168.1.4,Uganda,True,Windows 11
2024-06-07 04:09:00,user_015,192.168.1.106,Uganda,False,Ubuntu 22.04
2024-06-07 04:20:00,user_023,192.168.1.78,Unknown,True,Kali Linux
2024-06-07 05:58:00,user_005,192.168.1.238,Nigeria,True,macOS 14
2024-06-07 06:12:00,user_002,192.168.1.117,Uganda,True,Ubuntu 22.04
2024-06-07 07:23:00,user_005,192.168.1.50,South Africa,True,macOS 14
2024-06-07 08:53:00,user_029,192.168.1.224,South Africa,True,Windows 11
2024-06-07 12:08:00,user_013,192.168.1.60,China,True,Windows 10
2024-06-07 13:20:00,user_016,192.168.1.63,China,True,macOS 14
2024-06-07 13:33:00,user_021,192.168.1.176,Uganda,False,Kali Linux
2024-06-07 14:09:00,user_024,192.168.1.139,Uganda,True,Windows 10
2024-06-07 15:03:00,user_018,192.168.1.38,South Africa,False,Ubuntu 22.04
2024-06-07 16:16:00,user_019,192.168.1.169,South Africa,True,macOS 14
2024-06-07 17:37:00,user_019,192.168.1.170,Uganda,False,macOS 14
2024-06-07 18:29:00,user_024,192.168.1.212,Unknown,True,macOS 14
2024-06-07 18:35:00,user_011,192.168.1.244,China,True,Kali Linux
2024-06-07 18:51:00,user_003,192.168.1.99,South Africa,True,macOS 14
2024-06-07 20:51:00,user_009,192.168.1.207,Uganda,True,Kali Linux
2024-06-07 21:33:00,user_020,192.168.1.203,Unknown,False,Kali Linux
2024-06-07 21:38:00,user_014,192.168.1.247,Kenya,True,Windows 11
2024-06-07 21:49:00,user_024,192.168.1.184,Uganda,True,Windows 11
2024-06-07 22:20:00,user_021,192.168.1.44,Unknown,True,Windows 11
2024-06-07 22:39:00,user_022,192.168.1.98,Nigeria,False,Ubuntu 22.04
